incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact
12760686,2022-11-09T01:45:00Z,2022-11-09T01:53:00Z,8,updates,"Incident with Actions, API Requests, Codespaces, Copilot, Git Operations, Issues, Packages, Pages, Pull Requests and Webhooks",minor
13134177,2022-11-15T14:32:00Z,2022-11-15T15:53:00Z,81,updates,Incident with Codespaces,minor
13321900,2022-11-18T03:59:00Z,2022-11-18T04:11:00Z,12,updates,Incident with Actions,minor
13506127,2022-11-20T19:23:00Z,2022-11-20T19:55:00Z,32,updates,Incident with Codespaces,minor
13670974,2022-11-25T04:13:00Z,2022-11-25T06:24:00Z,131,updates,Incident with Copilot,minor
13673551,2022-11-25T14:39:00Z,2022-11-25T16:34:00Z,115,updates,Incident with Packages and Pages,major
13694881,2022-11-26T00:46:00Z,2022-11-26T01:41:00Z,55,updates,Incident with Copilot,minor
13866274,2022-11-28T14:19:00Z,2022-11-28T14:49:00Z,30,updates,Incident with Actions,minor
13945716,2022-11-29T16:43:00Z,2022-11-29T17:05:00Z,22,updates,Incident with Codespaces,minor
14012953,2022-11-30T16:02:00Z,2022-11-30T17:13:00Z,71,updates,Investigating reports of degraded performance.,none
14426337,2022-12-05T17:31:00Z,2022-12-05T18:40:00Z,69,updates,Incident with Git Operations and Pull Requests,minor
14513407,2022-12-06T17:53:00Z,2022-12-06T20:58:00Z,185,updates,Incident with Codespaces,minor
14792978,2022-12-10T02:37:00Z,2022-12-10T03:00:00Z,23,updates,Incident with Issues and Pull Requests,minor
15101486,2022-12-13T17:39:00Z,2022-12-13T18:43:00Z,64,updates,Incident with Git Operations and Pull Requests,minor
15271570,2022-12-15T19:42:00Z,2022-12-15T20:00:00Z,18,updates,Incident with API Requests,minor
15272710,2022-12-15T20:00:00Z,2022-12-15T20:37:00Z,37,updates,Investigating reports of degraded performance.,none
15610630,2022-12-20T00:09:00Z,2022-12-20T01:38:00Z,89,updates,Incident with Actions,minor
15635370,2022-12-20T06:55:00Z,2022-12-20T07:58:00Z,63,updates,Incident with Actions,minor
15746143,2022-12-31T00:07:00Z,2022-12-31T01:47:00Z,100,updates,Incident with Codespaces,minor
15753394,2023-01-01T16:33:00Z,2023-01-01T18:28:00Z,115,updates,Incident with Codespaces,minor
15793354,2023-01-07T22:50:00Z,2023-01-07T23:30:00Z,40,updates,Incident with Actions,minor
15812232,2023-01-10T17:04:00Z,2023-01-10T18:14:00Z,70,updates,Incident with Actions and Git Operations,minor
15824287,2023-01-12T03:59:00Z,2023-01-12T04:55:00Z,56,updates,Incident with Copilot,minor
15843556,2023-01-14T15:13:00Z,2023-01-14T16:58:00Z,105,updates,Incident with Codespaces,minor
15855305,2023-01-16T15:51:00Z,2023-01-16T16:43:00Z,52,updates,Incident with Actions,minor
